source,target,code,confidence,note
/,/,301,exact,Homepage — same path serves new content after cutover; no functional redirect fires.
/en/,/,301,strong,EN — site is Dutch-only at launch; redirected to the Dutch home. Remove this rule once WPML restores /en/ pages.
/winkelwagen/,/cart/,301,strong,"WooCommerce cart; Dutch slug ""winkelwagen"" renamed to ""cart"", page title stays ""Winkelwagen""."
/elektrische-boiler-op-zonnepanelen-laten-werken/,/zonnestroomboiler/,301,judgement,"Old landing page on running an electric boiler off solar; folded into the current zonnestroomboiler explainer, the closest live page on the same topic."
/sitemap/,/,301,needs-decision,No HTML sitemap page exists on the new site. Recommend 301 to / (home); the XML sitemap for crawlers is unaffected.
/alternatief-voor-terugleververgoeding/,/zonnestroomboiler-als-oplossing-voor-terugleverkosten/,301,judgement,Old page pitched an alternative to feed-in compensation; closest live content is the blog post on the zonnestroomboiler as a solution to feed-in costs.
/zonne-energie-thuis-opslaan/,/wateraccu/,301,judgement,"Old generic ""store solar energy at home"" landing page; folded into the current WaterAccu product/explainer page."
/slimme-boiler-of-wateraccu/,/hoe-een-simpele-boiler-een-slimme-batterij-wordt/,301,judgement,Old comparison landing page; closest live content is the blog post on a simple boiler becoming a smart battery.
/solar-iboost/,/solyx-shop/,301,judgement,"Discontinued third-party accessory, not sold or referenced anywhere on the new site; routed to the shop."
/levering-en-retourbeleid/,/levering-en-retourbeleid/,301,exact,
/algemene-voorwaarden/,/algemene-voorwaarden/,301,exact,
/ontdek-mogelijkheden/,/installatie/,301,judgement,"Known open item (REDIRECT-MAP.md §4c: no equivalent). ""Discover installation possibilities"" maps closest to the Installatie & Opstellingen page."
/thank-you/,/installatie-formulier/,301,needs-decision,Generic old form/order confirmation page; unclear which flow it served (install form vs WooCommerce checkout). Recommend 301 to /installatie-formulier/ pending confirmation.
/contact/,/faq/,301,exact,client decision: no contact page; FAQ carries the contact form
/installatie-formulier/,/installatie-formulier/,301,exact,
/installatie-formulier-boilergarant/,/installatie-formulier-boilergarant/,301,exact,
/calculator/,/besparen/,301,strong,"Old ""calculator"" slug is the same savings calculator, now titled/slugged besparen."
/wateraccu-landing/,/landingspagina/,301,strong,"Same dedicated WaterAccu landing page, slug renamed wateraccu-landing to landingspagina."
/en/terms-and-conditions/,/algemene-voorwaarden/,301,strong,EN — Dutch-only at launch; see English-URL note.
/en/i-want-the-wateraccu/,/how-to-get-it/,301,judgement,EN — Dutch-only at launch; paired with /ik-wil-de-wateraccu/.
/en/installation-form/,/installatie-formulier/,301,strong,EN — Dutch-only at launch; see English-URL note.
/installation-form-boilergarant/,/installatie-formulier-boilergarant/,301,strong,Legacy Dutch-domain URL with an English slug; same Boilergarant install form.
/en/installation-form-boilergarant/,/installatie-formulier-boilergarant/,301,strong,EN — Dutch-only at launch; see English-URL note.
/en/shop/,/shop/,301,strong,EN — Dutch-only at launch; see English-URL note.
/en/smart-boiler-of-wateraccu/,/hoe-een-simpele-boiler-een-slimme-batterij-wordt/,301,judgement,EN — Dutch-only at launch; paired with /slimme-boiler-of-wateraccu/.
/en/alternative-to-feed-in-compensation/,/zonnestroomboiler-als-oplossing-voor-terugleverkosten/,301,judgement,EN — Dutch-only at launch; paired with /alternatief-voor-terugleververgoeding/.
/en/cart/,/cart/,301,strong,EN — Dutch-only at launch; see English-URL note.
